Date,Alberta,British Columbia,Manitoba,New Brunswick,Newfoundland and Labrador,Northwest Territories,Nova Scotia,Nunavut,Ontario,Prince Edward Island,Quebec,Repatriated Travellers,Saskatchewan,Yukon
3/26/20,486,725,36,33,82,1,73,0,858,5,1632,0,95,3
3/27/20,542,725,39,45,102,1,90,0,994,9,2024,0,95,3
3/28/20,542,884,64,51,120,1,110,0,1144,11,2498,0,134,4
3/29/20,621,884,72,66,135,1,122,0,1355,11,2840,0,156,4
3/30/20,661,970,96,68,148,1,127,0,1706,18,3430,0,156,4
3/31/20,690,1013,103,70,152,1,147,0,1966,21,4162,0,184,5
4/1/20,754,1013,127,81,175,2,173,0,2392,21,4611,0,193,5
4/2/20,969,1121,167,91,183,2,193,0,2793,22,5518,0,206,6
4/3/20,969,1174,182,91,195,2,207,0,3255,22,6101,0,220,6
4/4/20,1075,1203,182,91,195,4,236,0,3630,22,6101,0,220,6
4/5/20,1181,1203,203,98,217,4,262,0,4354,22,7944,0,249,6
4/6/20,1250,1266,203,103,226,5,293,0,4347,22,8580,0,249,6
